Country,,KAZ,,KOR,,,,,,,,,,,GRC,,,,,THA,,,,CHN,,MYS,,,TUR,,,,,,MEX,,,BRA
Gini,25.84000015,27.32500076,28.10000038,31.39999962,31.64999962,31.79999924,32.09999847,32.40000153,32.75,32.79999924,33.23333359,34,34.40000153,34.5,34.57500076,35,35.09999847,35.5,35.52500153,36.13999939,37.29999924,38.47999954,38.5,38.54999924,40.57500076,41.09999847,41.22499847,41.82500076,42,42.84000015,43.45000076,44.15999985,44.40000153,45.36000061,45.84999847,47.29999924,50.59999847,53.15999985
Trust,0.300940037,0.228056431,0.128013209,0.329317272,0.07333333,0.445680618,0.233082712,0.129166663,0.065964758,0.138245031,0.466930151,0.205833331,0.150833338,0.169134736,0.084471963,0.118699186,0.130063519,0.276666671,0.114002943,0.288886756,0.229347616,0.046373185,0.163479924,0.634894729,0.148098737,0.195734963,0.370217174,0.191813305,0.13995859,0.041612707,0.053309843,0.08514756,0.129027218,0.057500001,0.104989827,0.021399178,0.045394737,0.06524758
